cardinal;ordinal;prime_form;is_z;z_pair;states;n
1;1;0;0;-1;12;1
2;1;0 1;0;-1;12;2
2;2;0 2;0;-1;12;3
2;3;0 3;0;-1;12;4
2;4;0 4;0;-1;12;5
2;5;0 5;0;-1;12;6
2;6;0 6;0;-1;6;7
3;1;0 1 2;0;-1;12;8
3;2;0 1 3;0;-1;24;9
3;3;0 1 4;0;-1;24;10
3;4;0 1 5;0;-1;24;11
3;5;0 1 6;0;-1;24;12
3;6;0 2 4;0;-1;12;13
3;7;0 2 5;0;-1;24;14
3;8;0 2 6;0;-1;24;15
3;9;0 2 7;0;-1;12;16
3;10;0 3 6;0;-1;12;17
3;11;0 3 7;0;-1;24;18
3;12;0 4 8;0;-1;4;19
4;1;0 1 2 3;0;-1;12;20
4;2;0 1 2 4;0;-1;24;21
4;3;0 1 3 4;0;-1;12;22
4;4;0 1 2 5;0;-1;24;23
4;5;0 1 2 6;0;-1;24;24
4;6;0 1 2 7;0;-1;12;25
4;7;0 1 4 5;0;-1;12;26
4;8;0 1 5 6;0;-1;12;27
4;9;0 1 6 7;0;-1;6;28
4;10;0 2 3 5;0;-1;12;29
4;11;0 1 3 5;0;-1;24;30
4;12;0 2 3 6;0;-1;24;31
4;13;0 1 3 6;0;-1;24;32
4;14;0 2 3 7;0;-1;24;33
4;15;0 1 4 6;1;29;24;34
4;16;0 1 5 7;0;-1;24;35
4;17;0 3 4 7;0;-1;12;36
4;18;0 1 4 7;0;-1;24;37
4;19;0 1 4 8;0;-1;24;38
4;20;0 1 5 8;0;-1;12;39
4;21;0 2 4 6;0;-1;12;40
4;22;0 2 4 7;0;-1;24;41
4;23;0 2 5 7;0;-1;12;42
4;24;0 2 4 8;0;-1;12;43
4;25;0 2 6 8;0;-1;6;44
4;26;0 3 5 8;0;-1;12;45
4;27;0 2 5 8;0;-1;24;46
4;28;0 3 6 9;0;-1;3;47
4;29;0 1 3 7;1;15;24;48
5;1;0 1 2 3 4;0;-1;12;49
5;2;0 1 2 3 5;0;-1;24;50
5;3;0 1 2 4 5;0;-1;24;51
5;4;0 1 2 3 6;0;-1;24;52
5;5;0 1 2 3 7;0;-1;24;53
5;6;0 1 2 5 6;0;-1;24;54
5;7;0 1 2 6 7;0;-1;24;55
5;8;0 2 3 4 6;0;-1;12;56
5;9;0 1 2 4 6;0;-1;24;57
