cardinal;ordinal;prime_form;is_z;z_pair;states;n
5;10;0 1 3 4 6;0;-1;24;58
5;11;0 2 3 4 7;0;-1;24;59
5;12;0 1 3 5 6;1;36;12;60
5;13;0 1 2 4 8;0;-1;24;61
5;14;0 1 2 5 7;0;-1;24;62
5;15;0 1 2 6 8;0;-1;12;63
5;16;0 1 3 4 7;0;-1;24;64
5;17;0 1 3 4 8;1;37;12;65
5;18;0 1 4 5 7;1;38;24;66
5;19;0 1 3 6 7;0;-1;24;67
5;20;0 1 3 7 8;0;-1;24;68
5;21;0 1 4 5 8;0;-1;24;69
5;22;0 1 4 7 8;0;-1;12;70
5;23;0 2 3 5 7;0;-1;24;71
5;24;0 1 3 5 7;0;-1;24;72
5;25;0 2 3 5 8;0;-1;24;73
5;26;0 2 4 5 8;0;-1;24;74
5;27;0 1 3 5 8;0;-1;24;75
5;28;0 2 3 6 8;0;-1;24;76
5;29;0 1 3 6 8;0;-1;24;77
5;30;0 1 4 6 8;0;-1;24;78
5;31;0 1 3 6 9;0;-1;24;79
5;32;0 1 4 6 9;0;-1;24;80
5;33;0 2 4 6 8;0;-1;12;81
5;34;0 2 4 6 9;0;-1;12;82
5;35;0 2 4 7 9;0;-1;12;83
5;36;0 1 2 4 7;1;12;24;84
5;37;0 3 4 5 8;1;17;12;85
5;38;0 1 2 5 8;1;18;24;86
6;1;0 1 2 3 4 5;0;-1;12;87
6;2;0 1 2 3 4 6;0;-1;24;88
6;3;0 1 2 3 5 6;1;36;24;89
6;4;0 1 2 4 5 6;1;37;12;90
6;5;0 1 2 3 6 7;0;-1;24;91
6;6;0 1 2 5 6 7;1;38;12;92
6;7;0 1 2 6 7 8;0;-1;6;93
6;8;0 2 3 4 5 7;0;-1;12;94
6;9;0 1 2 3 5 7;0;-1;24;95
6;10;0 1 3 4 5 7;1;39;24;96
6;11;0 1 2 4 5 7;1;40;24;97
6;12;0 1 2 4 6 7;1;41;24;98
6;13;0 1 3 4 6 7;1;42;12;99
6;14;0 1 3 4 5 8;0;-1;24;100
6;15;0 1 2 4 5 8;0;-1;24;101
6;16;0 1 4 5 6 8;0;-1;24;102
6;17;0 1 2 4 7 8;1;43;24;103
6;18;0 1 2 5 7 8;0;-1;24;104
6;19;0 1 3 4 7 8;1;44;24;105
6;20;0 1 4 5 8 9;0;-1;4;106
6;21;0 2 3 4 6 8;0;-1;24;107
6;22;0 1 2 4 6 8;0;-1;24;108
6;23;0 2 3 5 6 8;1;45;12;109
6;24;0 1 3 4 6 8;1;46;24;110
6;25;0 1 3 5 6 8;1;47;24;111
6;26;0 1 3 5 7 8;1;48;12;112
6;27;0 1 3 4 6 9;0;-1;24;113
6;28;0 1 3 5 6 9;1;49;12;114
6;29;0 1 3 6 8 9;1;50;12;115
6;30;0 1 3 6 7 9;0;-1;12;116
6;31;0 1 3 5 8 9;0;-1;24;117
6;32;0 2 4 5 7 9;0;-1;12;118
6;33;0 2 3 5 7 9;0;-1;24;119
6;34;0 1 3 5 7 9;0;-1;24;120
6;35;0 2 4 6 8 10;0;-1;2;121
6;36;0 1 2 3 4 7;1;3;24;122
6;37;0 1 2 3 4 8;1;4;12;123
6;38;0 1 2 3 7 8;1;6;12;124
6;39;0 2 3 4 5 8;1;10;24;125
6;40;0 1 2 3 5 8;1;11;24;126
6;41;0 1 2 3 6 8;1;12;24;127
6;42;0 1 2 3 6 9;1;13;12;128
6;43;0 1 2 5 6 8;1;17;24;129
6;44;0 1 2 5 6 9;1;19;24;130
6;45;0 2 3 4 6 9;1;23;12;131
6;46;0 1 2 4 6 9;1;24;24;132
6;47;0 1 2 4 7 9;1;25;24;133
6;48;0 1 2 5 7 9;1;26;12;134
6;49;0 1 3 4 7 9;1;28;12;135
6;50;0 1 4 6 7 9;1;29;12;136
7;1;0 1 2 3 4 5 6;0;-1;12;137
7;2;0 1 2 3 4 5 7;0;-1;24;138
7;3;0 1 2 3 4 5 8;0;-1;24;139
7;4;0 1 2 3 4 6 7;0;-1;24;140
7;5;0 1 2 3 5 6 7;0;-1;24;141
7;6;0 1 2 3 4 7 8;0;-1;24;142
7;7;0 1 2 3 6 7 8;0;-1;24;143
7;8;0 2 3 4 5 6 8;0;-1;12;144
7;9;0 1 2 3 4 6 8;0;-1;24;145
7;10;0 1 2 3 4 6 9;0;-1;24;146
7;11;0 1 3 4 5 6 8;0;-1;24;147
7;12;0 1 2 3 4 7 9;1;36;12;148
7;13;0 1 2 4 5 6 8;0;-1;24;149
7;14;0 1 2 3 5 7 8;0;-1;24;150
7;15;0 1 2 4 6 7 8;0;-1;12;151
7;16;0 1 2 3 5 6 9;0;-1;24;152
7;17;0 1 2 4 5 6 9;1;37;12;153
7;18;0 1 2 3 5 8 9;1;38;24;154
7;19;0 1 2 3 6 7 9;0;-1;24;155
7;20;0 1 2 4 7 8 9;0;-1;24;156
7;21;0 1 2 4 5 8 9;0;-1;24;157
7;22;0 1 2 5 6 8 9;0;-1;12;158
7;23;0 2 3 4 5 7 9;0;-1;24;159
7;24;0 1 2 3 5 7 9;0;-1;24;160
7;25;0 2 3 4 6 7 9;0;-1;24;161
7;26;0 1 3 4 5 7 9;0;-1;24;162
7;27;0 1 2 4 5 7 9;0;-1;24;163
7;28;0 1 3 5 6 7 9;0;-1;24;164
7;29;0 1 2 4 6 7 9;0;-1;24;165
7;30;0 1 2 4 6 8 9;0;-1;24;166
7;31;0 1 3 4 6 7 9;0;-1;24;167
7;32;0 1 3 4 6 8 9;0;-1;24;168
7;33;0 1 2 4 6 8 10;0;-1;12;169
7;34;0 1 3 4 6 8 10;0;-1;12;170
7;35;0 1 3 5 6 8 10;0;-1;12;171
7;36;0 1 2 3 5 6 8;1;12;24;172
7;37;0 1 3 4 5 7 8;1;17;12;173
7;38;0 1 2 4 5 7 8;1;18;24;174
8;1;0 1 2 3 4 5 6 7;0;-1;12;175
8;2;0 1 2 3 4 5 6 8;0;-1;24;176
8;3;0 1 2 3 4 5 6 9;0;-1;12;177
8;4;0 1 2 3 4 5 7 8;0;-1;24;178
8;5;0 1 2 3 4 6 7 8;0;-1;24;179
8;6;0 1 2 3 5 6 7 8;0;-1;12;180
8;7;0 1 2 3 4 5 8 9;0;-1;12;181
8;8;0 1 2 3 4 7 8 9;0;-1;12;182
8;9;0 1 2 3 6 7 8 9;0;-1;6;183
8;10;0 2 3 4 5 6 7 9;0;-1;12;184
8;11;0 1 2 3 4 5 7 9;0;-1;24;185
8;12;0 1 3 4 5 6 7 9;0;-1;24;186
8;13;0 1 2 3 4 6 7 9;0;-1;24;187
8;14;0 1 2 4 5 6 7 9;0;-1;24;188
8;15;0 1 2 3 4 6 8 9;1;29;24;189
8;16;0 1 2 3 5 7 8 9;0;-1;24;190
8;17;0 1 3 4 5 6 8 9;0;-1;12;191
8;18;0 1 2 3 5 6 8 9;0;-1;24;192
8;19;0 1 2 4 5 6 8 9;0;-1;24;193
8;20;0 1 2 4 5 7 8 9;0;-1;12;194
8;21;0 1 2 3 4 6 8 10;0;-1;12;195
8;22;0 1 2 3 5 6 8 10;0;-1;24;196
8;23;0 1 2 3 5 7 8 10;0;-1;12;197
8;24;0 1 2 4 5 6 8 10;0;-1;12;198
8;25;0 1 2 4 6 7 8 10;0;-1;6;199
8;26;0 1 2 4 5 7 9 10;0;-1;12;200
8;27;0 1 2 4 5 7 8 10;0;-1;24;201
8;28;0 1 3 4 6 7 9 10;0;-1;3;202
8;29;0 1 2 3 5 6 7 9;1;15;24;203
9;1;0 1 2 3 4 5 6 7 8;0;-1;12;204
9;2;0 1 2 3 4 5 6 7 9;0;-1;24;205
9;3;0 1 2 3 4 5 6 8 9;0;-1;24;206
9;4;0 1 2 3 4 5 7 8 9;0;-1;24;207
9;5;0 1 2 3 4 6 7 8 9;0;-1;24;208
9;6;0 1 2 3 4 5 6 8 10;0;-1;12;209
9;7;0 1 2 3 4 5 7 8 10;0;-1;24;210
9;8;0 1 2 3 4 6 7 8 10;0;-1;24;211
9;9;0 1 2 3 5 6 7 8 10;0;-1;12;212
9;10;0 1 2 3 4 6 7 9 10;0;-1;12;213
9;11;0 1 2 3 5 6 7 9 10;0;-1;24;214
9;12;0 1 2 4 5 6 8 9 10;0;-1;4;215
10;1;0 1 2 3 4 5 6 7 8 9;0;-1;12;216
10;2;0 1 2 3 4 5 6 7 8 10;0;-1;12;217
10;3;0 1 2 3 4 5 6 7 9 10;0;-1;12;218
10;4;0 1 2 3 4 5 6 8 9 10;0;-1;12;219
10;5;0 1 2 3 4 5 7 8 9 10;0;-1;12;220
10;6;0 1 2 3 4 6 7 8 9 10;0;-1;6;221
11;1;0 1 2 3 4 5 6 7 8 9 10;0;-1;12;222
12;1;0 1 2 3 4 5 6 7 8 9 10 11;0;-1;1;223
